Chinese Name,English Name,Address,Latitude,Longitude,Main Products,Registered Capital (RMB),Opening Year
兖矿鲁南化工有限公司,,山东省滕州市木石镇,,,,4755520000.0,2007.0
金正大生态工程集团股份有限公司,,临沭县兴大西街19号,,,,3157838096.0,1998.0
山东润泽化工有限公司,,东明县菜园集工业园区,,,,2130000000.0,2010.0
青岛海湾化学有限公司,,青岛市黄岛区泊里镇港丰路66号,,,,1917660000.0,1999.0
淄博齐翔腾达化工股份有限公司,,临淄区胶厂南路1号,,,,1775209253.0,2002.0
山东华鲁恒升化工股份有限公司,,德州市天衢西路24号,,,,1620363550.0,2000.0
滨化集团股份有限公司,,山东省滨州市黄河五路869号,,,,1544400000.0,1998.0
山东瑞翼化工贸易有限公司,,青岛市李沧区重庆中路527号122,,,,1520000000.0,2012.0
鲁西化工集团股份有限公司,,聊城市鲁化路68号,,,,1464860778.0,1998.0
瑞星集团股份有限公司,,东平县彭集镇,,,,1382000000.0,2003.0
山东海天生物化工有限公司,,昌邑市下营经济开发区金晶大道1号,,,,1369116810.0,2003.0
国美化工有限公司,,山东省日照市岚山区化学工业区,,,,1200000000.0,2017.0
山东万通石油化工集团有限公司,,东营区郝纯路,,,,1198000000.0,1998.0
鲁西集团有限公司,,聊城市鲁化路68号,,,,1080000000.0,2001.0
山东威瑞化工有限公司,,山东省东营市东营港经济开发区港城路北、港西二路东,,,,1000000000.0,2016.0
山东三岳化工有限公司,,无棣县埕口镇政府驻地、大济路以东,,,,1000000000.0,2010.0
中节能万润股份有限公司,,烟台市经济技术开发区五指山路11号,,,,909133215.0,1995.0
联泓新材料有限公司,,滕州市木石镇驻地,,,,880000000.0,2009.0
山东阳煤恒通化工股份有限公司,,郯城县人民路327号,,,,823447532.0,1993.0
山东玉皇化工有限公司,,武胜工业开发区,,,,800000000.0,1994.0
中化弘润石油化工有限公司,,潍坊高新技术产业开发区福寿东街中段,,,,793580000.0,1997.0
山东迪孚石油化工有限公司,,山东省日照市东港区海曲东路与绿舟路交汇处日照国际财富中心36层,,,,770000000.0,2016.0
阳煤集团青岛恒源化工有限公司,,山东省青岛市黄岛区世纪大道,,,,700900000.0,1999.0
山东省岚桥石化有限公司,,山东省日照市岚山区虎山镇潘家村西首,,,,685000000.0,2005.0
山东京博石油化工有限公司,,博兴县经济开发区,,,,680000000.0,2000.0
东营华联石油化工厂有限公司,,东营市河口区滨孤路88号,,,,680000000.0,2006.0
山东恒伟化工科技有限公司,,巨野县田桥镇驻地煤化工园区(327国道北),,,,679600000.0,2013.0
山东联盟化工股份有限公司,,寿光市侯镇项目区,,,,660000000.0,2000.0
洪业化工集团股份有限公司,,东明县城北环路西段北侧,,,,660000000.0,2005.0
德州实华化工有限公司,,德城区天衢工业园实华南路6号,,,,650000000.0,2007.0
山东玉皇盛世化工股份有限公司,,菏泽市开发区长江东路4666号。,,,,650000000.0,2007.0
山东宝莫生物化工股份有限公司,,山东省东营市东营区西四路892号,,,,612000000.0,1996.0
滨州海洋化工有限公司,,山东省滨州市沾化区城东工业园永馆路,,,,600000000.0,2006.0
盛隆化工有限公司,,滕州市西岗镇,,,,568800000.0,2003.0
阳煤平原化工有限公司,,平原县城立交东路15号,,,,560296500.0,1997.0
山东海化集团有限公司,,山东潍坊滨海经济开发区,,,,554171375.0,1996.0
山东三维石化工程股份有限公司,,临淄区炼厂中路22号,,,,503262849.0,1994.0
中信国安化工有限公司,,东明县城关镇南化工园区,,,,500000000.0,2010.0
山东铭港化工有限公司,,山东省日照市岚山区岚山化学工业区,,,,500000000.0,2017.0
山东胜星化工有限公司,,山东省东营市广饶县山东大王经济开发区胜利路3号,,,,500000000.0,2009.0
东明东方化工有限公司,,东明县开发区工业园区,,,,500000000.0,2008.0
山东菏泽玉皇化工有限公司,,菏泽市淮河路666号。,,,,500000000.0,2007.0
淄博市临淄恒兴化工厂有限公司,,山东省淄博市临淄区朱台工业集中区,,,,500000000.0,1990.0
山东海右石化集团有限公司,,山东省日照市莒县夏庄镇工业园,,,,500000000.0,2006.0
山东兆邦化工有限公司,,东明县城关镇南化工园区,,,,500000000.0,2010.0
山东桦超化工有限公司,,临邑县临盘镇马寨村驻地,,,,475000000.0,2011.0
山东金岭化工股份有限公司,,东营市广饶县大王经济技术开发区,,,,466500000.0,2000.0
淄博鲁华泓锦新材料股份有限公司,,淄博市张店区冯北路3号,,,,445400000.0,1989.0
利华益利津炼化有限公司,,利津县永莘路55号,,,,430480000.0,1994.0
华熙福瑞达生物医药有限公司,,山东省济南市高新技术开发区天辰大街678号,,,,430437444.0,2000.0
山东洪达化工有限公司,,菏泽市郓城县煤化工业园区内,,,,420000000.0,2008.0
青岛海湾精细化工有限公司,,山东省青岛市平度市新河生态化工科技产业基地晋水路1号,,,,417290000.0,
东营华泰化工集团有限公司,,山东省东营市东营区钱塘江路11号,,,,405941766.0,2004.0
烟台巨力精细化工股份有限公司,,山东省莱阳市经济开发区崂山路6号,,,,403200000.0,2001.0
东明前海化工有限公司,,东明县菜园集镇工业园区,,,,400000000.0,2014.0
山东金城医药集团股份有限公司,,山东省淄博市淄川经济开发区双山路1号,,,,393152238.0,2004.0
山东东巨化工股份有限公司,,东明县南化工园区,,,,388970000.0,2009.0
山东方明化工股份有限公司,,菏泽市东明县化工园,,,,388000000.0,2002.0
德润化工有限公司,,菏泽市上海路中段,,,,380520006.0,2006.0
山东阳谷华泰化工股份有限公司,,阳谷县清河西路217号,,,,375131706.0,2000.0
济南化工新材料有限公司,,济南市高新开发区正丰路中段9号,,,,375000000.0,2006.0
东明恒润化工有限公司,,东明县石化大道,,,,369766000.0,2004.0
山东海江化工有限公司,,桓台县经济开发区化学产业园化北路8号,,,,360000000.0,2012.0
山东绿霸化工股份有限公司,,济南市历城区唐王镇娄家北路17号,,,,360000000.0,1997.0
山东鲁北化工股份有限公司,,无棣县埕口镇,,,,350986607.0,1996.0
利华益维远化工有限公司,,山东省东营市利津县利十路208号,,,,350000000.0,2010.0
山东尚舜化工有限公司,,山东省单县经济技术开发区,,,,350000000.0,1999.0
山东东岳化工有限公司,,淄博市桓台县唐山镇,,,,340000000.0,1996.0
山东信发化工有限公司,,聊城市茌平县信发工业园,,,,335670000.0,2006.0
山东勇智化工有限公司,,菏泽市郓城县煤化工业园区,,,,300000000.0,2010.0
青岛圣宇石油化工有限公司,,山东省青岛市保税区上海路前盛1号仓储办公楼5695号,,,,300000000.0,2015.0
山东洪鼎化工有限公司,,菏泽市郓城县煤化工业园区,,,,300000000.0,2010.0
山东天成万丰化工科技有限公司,,济宁市兖州区北站西路66号,,,,300000000.0,2012.0
山东盛昌化工有限公司,,郓城县煤化工工业园区,,,,300000000.0,2011.0
山东海力化工股份有限公司,,桓台县马桥镇大成工业区,,,,300000000.0,2003.0
山东莱钢环友化工能源有限公司,,莱芜市钢城区艾山办事处周家坡,,,,300000000.0,2006.0
青岛海湾液体化工港务有限公司,,山东省青岛市黄岛区泊里镇港润大道88号,,,,300000000.0,2011.0
山东齐发化工有限公司,,东营区辛河路东600米(牛庄镇小宋村),,,,300000000.0,2006.0
山东盛荣化工有限公司,,东明县化工园区纬五路北经三路东,,,,300000000.0,2013.0
青岛中茂晟泰石油化工有限公司,,山东省青岛市保税港区北京路45号1号库一楼156号,,,,288880000.0,2018.0
山东滨州港化工码头有限公司,,滨州市北海新区北海大街8号,,,,285710000.0,2009.0
淄博金桥化工医药有限公司,,山东省淄博市临淄区齐城路1号,,,,280000000.0,2015.0
山东铭浩化工股份有限公司,,沂水县经济开发区庐山工业园,,,,280000000.0,2012.0
东营贝斯特化工科技有限公司,,广饶县经济开发区8号路南侧,,,,270000000.0,2015.0
山东巨野万山伟业化工有限公司,,巨野县田桥镇煤化工园区,,,,265800000.0,2012.0
山东大泽化工有限公司,,巨野县煤化工业园区,,,,265000000.0,2012.0
寿光市裕鑫化工有限公司,,寿光市卧铺乡清河采油厂第二生活区,,,,260990000.0,2000.0
山东国能生物化工股份有限公司,,山东省威海市文登区天福办事处通河路2号卫生大厦1308室,,,,260000000.0,2010.0
山东红日化工股份有限公司,,临沂市罗庄区湖北路东段,,,,260000000.0,1993.0
茌平信发华兴化工有限公司,,茌平县乐平镇,,,,251820000.0,2009.0
山东寿光神润发海洋化工有限公司,,寿光渤海化工园黄海路8号,,,,250000000.0,2006.0
