Chinese Name,English Name,Address,Latitude,Longitude,Main Products,Registered Capital (RMB),Opening Year
鲁西化工集团股份有限公司,,聊城市鲁化路68号,,,,1464860778,1998
山东鲁北化工股份有限公司,,无棣县埕口镇,,,,350986607,1996
滨化集团股份有限公司,,山东省滨州市黄河五路869号,,,,1544400000,1998
淄博齐翔腾达化工股份有限公司,,临淄区胶厂南路1号,,,,1775209253,2002
山东华鲁恒升化工股份有限公司,,德州市天衢西路24号,,,,1620363550,2000
山东石大胜华化工集团股份有限公司,,山东省东营市垦利区同兴路198号,,,,202680000,2002
山东联盟化工集团有限公司,,寿光市农圣街豪源路交叉路口北路西,,,,151930000,1997
山东三方化工集团有限公司,,莒南经济开发区淮海路西段,,,,50000000,2004
山东红日化工股份有限公司,,临沂市罗庄区湖北路东段,,,,260000000,1993
山东滨州港化工码头有限公司,,滨州市北海新区北海大街8号,,,,285710000,2009
山东京博石油化工有限公司,,博兴县经济开发区,,,,680000000,2000
无棣科亿化工有限公司,,无棣县鲁北高新技术开发区,,,,50000000,2014
山东天宏新能源化工有限公司,,博兴县开发区博城五路东首,,,,200000000,2008
山东卓星化工有限公司,,无棣新海工业园,,,,80000000,2011
山东帆岛化工燃气有限公司,,山东省滨州市邹平县城北,,,,50000000,2005
山东陆源化工有限公司,,山东省滨州市沾化区城北工业园洚河二路007号,,,,100000000,2008
山东澳润化工科技有限公司,,山东省滨州市博兴县城东办事处董初社区西,,,,50000000,2009
山东滨州裕华化工厂有限公司,,滨城区滨北街道办事处凤凰四路199号,,,,50000000,1997
无棣鑫岳化工集团有限公司,,无棣县埕口镇东,,,,101000000,2005
山东通远化工有限公司,,山东省滨州市沾化区城北工业园洚河二路西1号,,,,100000000,2009
山东隆泽化工有限公司,,山东省滨州市沾化区城北工业园清风六路,,,,100000000,2012
山东双桥化工有限公司,,邹平县城黛溪西路54号,,,,90000000,2003
山东汇成化工有限公司,,无棣县新海工业园,,,,31800000,2011
沾化国昌精细化工有限公司,,山东省滨州市沾化区滨海镇耿局村北1公里处,,,,150000000,2012
山东邹平华诚集团化工有限公司,,邹平县明集镇驻地,,,,50000000,2007
山东中海精细化工有限公司,,山东沾化经济开发区恒业四路159号,,,,60000000,2007
山东三岳化工有限公司,,无棣县埕口镇政府驻地、大济路以东,,,,1000000000,2010
森岳(无棣)国际能源化工有限公司,,无棣县鲁北高新技术开发区内,,,,200000000,2014
邹平天利化工设备有限公司,,邹平县码头镇三合,,,,50000000,2009
山东滨州昱诚化工科技有限公司,,滨州市滨城区滨北工业园凤凰六路198号,,,,55550000,2003
山东海明化工有限公司,,山东沾化经济开发区恒业三路157号,,,,120000000,1996
滨州海洋化工有限公司,,山东省滨州市沾化区城东工业园永馆路,,,,600000000,2006
山东省博兴县永鑫化工有限公司,,博兴县湖滨镇工业园,,,,100000000,2004
山东齐鑫化工有限公司,,山东省滨州市沾化区城北工业园洚河二路西1号,,,,30000000,2012
无棣融川医药化工科技有限公司,,无棣县新海工业园,,,,33333332,2009
山东滨化瑞成化工有限公司,,滨州市黄河五路858号,,,,90000000,2009
滨港石油化工码头有限公司,,山东省滨州北海经济开发区经十七路七号,,,,100000000,2015
山东省滨州市利丰达化工有限公司,,博兴县陈户镇工业园西首,,,,80000000,2007
山东先达农化股份有限公司,,博兴经济开发区,,,,80000000,2002
